word,score
"buggy",0.008606053013873266
"bug",0.007786619814017324
"robust",0.007786619814017324
"trouble",0.007786619814017324
"key",0.0070337997202731825
"cglib",0.006910807100253973
"re",0.0051473611372613364
"cause",0.004433221529723768
"when",0.004386545965760573
"about",0.004280158796482916
"hour",0.004280158796482916
"endless",0.004280158796482916
"thick",0.004280158796482916
"skull",0.004280158796482916
"renderer",0.004280158796482916
"bi",0.004280158796482916
"directional",0.004280158796482916
"releationship",0.004280158796482916
"@onetomany",0.004280158796482916
"matter",0.004280158796482916
"exotic",0.004280158796482916
"interception",0.004280158796482916
"getmethod",0.004280158796482916
"getdeclaredmethod",0.004280158796482916
"apache",0.004280158796482916
"due",0.004280158796482916
"closeablehttpclient",0.004280158796482916
"classloading",0.004280158796482916
"encrypting",0.004280158796482916
"signature",0.004280158796482916
"general",0.004280158796482916
"wether",0.004280158796482916
"feel",0.004280158796482916
"impression",0.004280158796482916
"select",0.004280158796482916
"conservative",0.004280158796482916
"length",0.004280158796482916
"localvariabletable",0.004280158796482916
"potentially",0.004280158796482916
"problematic",0.004280158796482916
"cool",0.004280158796482916
"derive",0.004280158796482916
"0.3.6",0.004280158796482916
"multipart",0.004280158796482916
"-",0.004139717884001636
"have",0.003468170227038306
"problem",0.003438450775288427
"quite",0.0032404115896926024
"extend",0.003114400948333595
"implementation",0.003114400948333595
"can",0.0027620565516658585
"constant",0.0025524239700873575
"pool",0.0025524239700873575
"force",0.0025524239700873575
"namespace",0.0025524239700873575
"avoid",0.0025524239700873575
"stable",0.0025524239700873575
"transaction",0.0025524239700873575
"httpclientbuilder",0.0025524239700873575
"empty",0.0025524239700873575
"encrypt",0.0025524239700873575
"private",0.0025524239700873575
"receive",0.0025524239700873575
"actual",0.0025524239700873575
"timeout",0.0025524239700873575
"current",0.0025524239700873575
"refer",0.0025524239700873575
"loader",0.0025524239700873575
"bulletproof",0.0025524239700873575
"version",0.0025468884483286483
"format",0.0023290531507618806
"serialization",0.0019492988778055966
"full",0.0019283875930021723
"manage",0.0019283875930021723
"quality",0.0019283875930021723
"conflict",0.0019283875930021723
"widely",0.0019283875930021723
"safe",0.0019283875930021723
"not",0.0019283875930021723
"define",0.0019283875930021723
"correctly",0.0019283875930021723
"native",0.0019283875930021723
"sound",0.0019283875930021723
"form",0.0019283875930021723
"change",0.0017881588859763528
"more",0.001654827775037495
"as",0.001642346572108467
"issue",0.001642346572108467
"very",0.0015656739962161253
"late",0.0015390010374000454
"error",0.0015390010374000454
"long",0.0015390010374000454
"high",0.0015390010374000454
"derby",0.0015390010374000454
"close",0.0015390010374000454
"must",0.0015390010374000454
"compare",0.0015390010374000454
"properly",0.0015390010374000454
"prove",0.0015390010374000454
"fact",0.0012610885806388734
"rather",0.0012610885806388734
"expect",0.0012610885806388734
"first",0.0012610885806388734
"order",0.0012610885806388734
"objenesis",0.0012610885806388734
"alternative",0.0012610885806388734
"definition",0.0012610885806388734
"throw",0.0012610885806388734
"input",0.0012610885806388734
"data",0.0012610885806388734
"unfortunately",0.0012610885806388734
"work",0.0010527649608402566
"finally",0.0010488573716973155
"keep",0.0010488573716973155
"fast",0.0009946811942066992
"look",0.000992755457713094
"library",0.0009573723593784035
"well",0.0008809761705701748
"small",0.0008800463857949907
"question",0.0008800463857949907
"little",0.0008800463857949907
"bit",0.0008800463857949907
"one",0.0008800463857949907
"require",0.0008800463857949907
"solution",0.0008800463857949907
"understand",0.0008800463857949907
"call",0.0007706031221249199
"come",0.0007421132626084483
"exception",0.0007421132626084483
"depend",0.0007421132626084483
"consider",0.0007421132626084483
"code",0.0007390545679282798
"reflection",0.000627282681568689
"able",0.000627282681568689
"default",0.0005303977818104386
"own",0.0005303977818104386
"thing",0.0005303977818104386
"run",0.0005303977818104386
"powerful",0.0004478613213518807
"where",0.00037706358249987946
"feature",0.00037706358249987946
"contain",0.00037706358249987946
"object",0.0003452342098735214
"give",0.00031605083945983553
"probably",0.00031605083945983553
"parse",0.00029623209918211
"file",0.00029623209918211
"directly",0.0002633223082097535
"interface",0.0002633223082097535
"also",0.0002258300479408851
"such",0.00021770007892571593
"method",0.00020580492792464844
"implement",0.00017824264165001405
"runtime",0.00017824264165001405
"check",0.00017824264165001405
"name",0.00017824264165001405
"datum",0.00017824264165001405
"example",0.00014994765131649455
"handle",0.00011489968387431982
"get",8.986096934320318e-05
"javassist",8.986096934320318e-05
"support",8.649477585576408e-05
"performance",6.862832089335501e-05
"easy",6.017599243269905e-05
"see",5.082694992969753e-05
"only",5.082694992969753e-05
"class",4.292123451219451e-05
"could",3.7961334429379464e-05
"use",3.7708918842079366e-05
"provide",3.6135720951021395e-05
"read",3.6135720951021395e-05
"so",2.427737794767859e-05
"know",2.427737794767859e-05
"will",1.6175828883720938e-05
"new",1.5010900045713015e-05
"type",1.5010900045713015e-05
"httpclient",1.143086604666238e-05
"create",7.511360241621909e-06
"custom",3.4355516329014773e-06
"may",3.4355516329014773e-06
"just",9.874302117714967e-07
"would",9.874302117714967e-07
"serialize",4.4906987258890775e-09
